category,headline,first_paragraph,tokens-headline,tokens-headline-stopwords-stemming,tokens-headline-stopwords,tokens-headline-stemming
educ,New Study Tries to Predict Law School Grades,"Law school admission test scores are an Ã¢ÂÂovervalued predictorÃ¢ÂÂ of law school grades, according to a new study. University of Colorado Law School professors Alexia Brunet Marks and Scott A. Moss collected seven years of data on more than 1,400 students who attended law school at either Colorado or Case Western Reserve University in Ohio.",new study tries predict law school grades,studi tri predict school grade,study tries predict school grades,new studi tri predict law school grade
polit,President of Todos por Peru added that his group will have its own candidates in regional and municipal elections of 2018.,,president todos por peru added that his group will have its own candidates regional and municipal elections,presid todo add group candid region municip elect,president todos added group candidates regional municipal elections,presid todo por peru add that his group will have it own candid region and municip elect
health,The National Malaria Eradication Service (Senepa) of Paraguay celebrated its 60th anniversary Wednesday after decades of struggle against the ...,,the national malaria eradication service senepa paraguay celebrated its anniversary wednesday after decades struggle against the,malaria erad servic senepa celebr anniversari wednesday decad struggl,national malaria eradication service senepa celebrated anniversary wednesday decades struggle,the nation malaria erad servic senepa paraguay celebr it anniversari wednesday after decad struggl against the
educ,"Even in Strong Job Market, High-School Graduates Flock to College","WASHINGTONÃ¢ÂÂThe share of recent high-school graduates who enrolled in college rebounded last year, showing the strongest labor market in decades has yet to entice young Americans away from pursuing more education.",even strong job market high school graduates flock college,strong market high school graduat flock colleg,strong market high school graduates flock college,even strong job market high school graduat flock colleg
educ,Language exams: how hard are they and is there a crisis?,"Research by Suzanne Graham, a professor of language and education at Reading University, shows that even though many students believe it is important to learn another language, they choose not to take language GCSEs because they are difficult.",language exams how hard are they and there crisis,languag exam hard crisi,language exams hard crisis,languag exam how hard be they and there crisi
economi,International land deals | World | The Guardian,,international land deals world the guardian,intern land deal,international land deals,intern land deal world the guardian
educ,"Fizz! Pop! Bang! Teachers Find New Science Standards Fun, But Costly","By Carolyn Jones With their emphasis on hands-on experiments, CaliforniaÃ¢ÂÂs new science standards have turned classrooms into",fizz pop bang teachers find new science standards fun but costly,fizz bang teacher scienc standard cost,fizz bang teachers science standards costly,fizz pop bang teacher find new scienc standard fun but cost
health,Government accepts 'debilitating' effects of medical implants,"Patients have suffered Ã¢ÂÂdebilitating consequencesÃ¢ÂÂ from medical implants that doctors had assured them would be safe, the government has said in a significant acknowledgement of failings in medical device regulation.",government accepts debilitating effects medical implants,govern accept debilit effect medic implant,government accepts debilitating effects medical implants,govern accept debilit effect medic implant
health,New 'disturbance map' shows damaging effects of forest loss in,,new disturbance map shows damaging effects forest loss,disturb damag effect forest loss,disturbance shows damaging effects forest loss,new disturb map show damag effect forest loss
crime,Milan Jurisic Killed And Eaten Allegedly By Serbian Mafia Members From Zemun Clan,Police suspect that Luka Bojovic was the ringleader of the cannibalistic murder. Bojovic was captured in Valencia last month,milan jurisic killed and eaten allegedly serbian mafia members from zemun clan,milan juris kill eat alleg serbian mafia member zemun clan,milan jurisic killed eaten allegedly serbian mafia members zemun clan,milan juris kill and eat alleg serbian mafia member from zemun clan
polit,Senate Intelligence Committee Backs Gina Haspel To Lead The CIA,Haspel looks all but assured to win confirmation in a vote before the full Senate.,senate intelligence committee backs gina haspel lead the cia,senat intellig committe gina haspel lead,senate intelligence committee backs gina haspel lead,senat intellig committe back gina haspel lead the cia
unemploy,South AustraliaÃ¢ÂÂs unemployment rate climbs in March,"The latest labour force figures, released by the Australian Bureau of Statistics on Thursday, showed SAÃ¢ÂÂs unemployment rate rose from 5.7 per cent in February to 5.9 per cent in March, on a seasonally adjusted basis.",south australiaÃ¢ unemployment rate climbs march,australiaÃ¢ unemploy rate climb march,australiaÃ¢ unemployment rate climbs march,south australiaÃ¢ unemploy rate climb march
educ,Making Students Pledge To The Test,"When it comes to the Big Standardized Tests, we know that one thing is important before all elseÃ¢ÂÂ not the soundness of the",making students pledge the test,student pledg test,making students pledge test,make student pledg the test
crime,Natalie Wood's Cause Of Death Changed From 'Accident' To 'Undetermined',CORRECTION: A previous version of this story incorrectly named Robert Wagner as Richard Wagner in the text and photo caption,natalie wood cause death changed from accident undetermined,natali wood caus death chang accid undetermin,natalie wood cause death changed accident undetermined,natali wood caus death chang from accid undetermin
economi,Business Day Editorial: Discovering Tobago,"The fact is, Tobago is in desperate need of something that can kick-start its economy. Compared to Trinidad, practically every economic indicator on the island is inverse.",business day editorial discovering tobago,busi editori discov tobago,business editorial discovering tobago,busi day editori discov tobago
economi,Government committed to sporting industry,"SENATOR Paula Gopee-Scoon, Minister of Trade and Industry, has said sport has a crucial part to play in the diversification of the TT economy.",government committed sporting industry,govern commit sport industri,government committed sporting industry,govern commit sport industri
crime,Mob Attacks Maduro Opponents as It Storms Venezuela 'sNational,,mob attacks maduro opponents storms venezuela snational,attack oppon storm snation,attacks opponents storms snational,mob attack maduro oppon storm venezuela snation
educ,The magic of llamas': furry friends help stressed university students relax,"Final exams are approaching at one of AmericaÃ¢ÂÂs elite universities, and the atmosphere might be tense Ã¢ÂÂ if it werenÃ¢ÂÂt for eight hairy campus visitors.",the magic llamas furry friends help stressed university students relax,magic llama furri friend help stress univers student relax,magic llamas furry friends help stressed university students relax,the magic llama furri friend help stress univers student relax
health,Colombia Reports Major Rise in Birth Defect Amid Zika Crisis - The,,colombia reports major rise birth defect amid zika crisis the,major rise birth defect zika crisi,reports major rise birth defect zika crisis,colombia report major rise birth defect amid zika crisi the
corrupt,Violin in hand Wuilly Arteaga left Venezuela. He left behind threats to his girlfriend and his family. He symbolizes the protests against the regime of ...,,violin hand wuilly arteaga left venezuela left behind threats his girlfriend and his family symbolizes the protests against the regime,violin hand wuilli arteaga threat girlfriend famili symbol protest regim,violin hand wuilly arteaga left left threats girlfriend family symbolizes protests regime,violin hand wuilli arteaga leav venezuela leav behind threat his girlfriend and his famili symbol the protest against the regim
polit,Democrats Force Vote To Keep Net Neutrality Rules,"It's only a temporary victory, however.",democrats force vote keep net neutrality rules,democrat forc vote neutral rule,democrats force vote neutrality rules,democrat forc vote keep net neutral rule
crime,"Justin Kowalczik, 17-Month-Old, Found Dead, Buried In Long Island Backyard; Robert Rodriguez Eyed",An infant was found dead and buried in a Long Island backyard -- and his parents never reported him missing. Neighbors reportedly,justin kowalczik month old found dead buried long island backyard robert rodriguez eyed,justin kowalczik dead buri long island backyard robert rodriguez eye,justin kowalczik dead buried long island backyard robert rodriguez eyed,justin kowalczik month old find dead buri long island backyard robert rodriguez eye
polit,"During the visit to Argentina in March 2016, the then president of the United States, Barack Obama, entered Argentine territory escorted by ...",,during the visit argentina march the then president the united states barack obama entered argentine territory escorted,dure visit march presid unit barack obama enter territori escort,visit march president united states barack obama entered argentine territory escorted,dure the visit argentina march the then presid the unit state barack obama enter argentin territori escort
unemploy,Wild Amazon faces destruction as Brazil's farmers and loggers target,,wild amazon faces destruction brazil farmers and loggers target,wild amazon face destruct farmer logger target,wild amazon faces destruction farmers loggers target,wild amazon face destruct brazil farmer and logger target
polit,A reality very different from the one of Bolivia however it is not difficult to glimpse coincidences if they observe their governments Turkey is governed by a ...,,reality very different from the one bolivia however not difficult glimpse coincidences they observe their governments turkey governed,realiti veri differ howev difficult glimps coincid observ govern turkey govern,reality different difficult glimpse coincidences observe governments turkey governed,realiti veri differ from the one bolivia howev not difficult glimps coincid they observ their govern turkey govern
polit,"Donald Trump, president of the United States, referred to the situation in Venezuela on Tuesday and assured that he will continue to promote the rescue of the ...",,donald trump president the united states referred the situation venezuela tuesday and assured that will continue promote the rescue the,donald presid unit refer situat assur continu promot rescu,donald president united states referred situation assured continue promote rescue,donald trump presid the unit state refer the situat venezuela tuesday and assur that will continu promot the rescu the
economi,On the forex trade,"In TT, most people associate GraceKennedy with its food and beverage lines Ã¢ÂÂ chief among them Grace corned beef Ã¢ÂÂ but the Jamaica-based group of companies also provides financial services.",the forex trade,forex trade,forex trade,the forex trade
polit,Venezuela presidential election: Vote or veto? - BBC News,,venezuela presidential election vote veto bbc news,presidenti elect vote veto,presidential election vote veto,venezuela presidenti elect vote veto bbc news
crime,Sins of the father: daughters of men who killed for Argentina,,sins the father daughters men who killed for argentina,sin father daughter kill,sins father daughters killed,sin the father daughter men who kill for argentina
unemploy,"Unemployment Rate Hits 3.9%, a Rare Low, as Job Market Becomes More Competitive","The Labor Department released its April hiring and unemployment report on Friday, providing the latest snapshot of the economy.",unemployment rate hits rare low job market becomes more competitive,unemploy rate hit rare market becom competit,unemployment rate hits rare market competitive,unemploy rate hit rare low job market becom more competit
health,The scope of the attacks was not clear but some analysts reported that dozens of countries had been affected by the virus among which Paraguay ...,,the scope the attacks was not clear but some analysts reported that dozens countries had been affected the virus among which paraguay,scope attack clear analyst dozen affect virus,scope attacks clear analysts reported dozens countries affected virus,the scope the attack be not clear but some analyst report that dozen countri have be affect the virus among which paraguay
health,An Australian Tobacco Plant May Help Us Finally Eliminate Polio,It could lead to a less-risky polio vaccine that doesn't require the actual virus to work.,australian tobacco plant may help finally eliminate polio,australian tobacco plant help final elimin polio,australian tobacco plant help finally eliminate polio,australian tobacco plant may help final elimin polio
polit,The ninth edition of the event organized by the Paraguay - Brazil Chamber of Commerce tripled expectations of participation. They say that they already equalized in ...,,the ninth edition the event organized the paraguay brazil chamber commerce tripled expectations participation they say that they already equalized,ninth edit event organ chamber commerc tripl expect particip alreadi equal,ninth edition event organized chamber commerce tripled expectations participation equalized,the ninth edit the event organ the paraguay brazil chamber commerc tripl expect particip they say that they alreadi equal
crime,In Argentina there are at least 14 cases of subrogation of the womb with a favorable decision to the procreational parents. the most read of Entremujeres ...,,argentina there are least cases subrogation the womb with favorable decision the procreational parents the most read entremujeres,case subrog womb favor decis procreat parent read entremujer,cases subrogation womb favorable decision procreational parents read entremujeres,argentina there be least case subrog the womb with favor decis the procreat parent the most read entremujer
polit,The Quiet Struggle Between Chuck Schumer And The Left,A pending appointment marks a truce in an ongoing saga.,the quiet struggle between chuck schumer and the left,quiet struggl chuck schumer,quiet struggle chuck schumer left,the quiet struggl between chuck schumer and the leav
crime,Joe Arpaio's Office Arrests 6-Year-Old Suspected Undocumented Immigrant,The Arizona Republic reports that the girl was with 15 other suspected undocumented immigrants who were traveling to the,joe arpaio office arrests year old suspected undocumented immigrant,arpaio offic arrest suspect undocu immigr,arpaio office arrests suspected undocumented immigrant,joe arpaio offic arrest year old suspect undocu immigr
corrupt,These Trees Are Made of Blood review  Argentina's dirty war,,these trees are made blood review argentina dirty war,tree blood dirti,trees blood dirty,these tree be make blood review argentina dirti war
corrupt,Trump's Pick For CIA Director Won't Say Torture Program Was Morally Wrong,Gina Haspel pledged not to revive the spy agency's interrogation operation Ã¢ÂÂ but she wouldn't condemn it.,trump pick for cia director won say torture program was morally wrong,pick director tortur program moral wrong,pick director torture program morally wrong,trump pick for cia director win say tortur program be moral wrong
health,State of emergency: healthcare a sore point in NSW election,"An ageing population, rising GP costs and ailing regional hospitals are testing AustraliaÃ¢ÂÂs most populous state. The Coalition and ALP are pledging more funding, but experts want Ã¢ÂÂnew solutions to old problemsÃ¢ÂÂ",state emergency healthcare sore point nsw election,emerg healthcar sore point elect,emergency healthcare sore point election,state emerg healthcar sore point nsw elect
unemploy,THA must work with private sector to help create jobs,"An online business network which operates an employment resort programme and has a membership of some 600 registered unemployed persons, is calling on the Tobago House of Assembly (THA) to have the private sector play a bigger role in the development of the islandÃ¢ÂÂs economy.",tha must work with private sector help create jobs,work privat sector help creat job,work private sector help create jobs,tha must work with privat sector help creat job
health,Stop child deaths': medical bodies urge crisis response to wave of Indigenous suicide,"Three of the countryÃ¢ÂÂs most powerful medical organisations are pleading with the federal government to take urgent action to stop the Ã¢ÂÂunspeakable tragedyÃ¢ÂÂ of Indigenous youth suicide, following another four Indigenous people taking their own lives in Queensland last week, and in the wake of a major report into child suicides in Western Australia.",stop child deaths medical bodies urge crisis response wave indigenous suicide,stop child death medic bodi urg crisi respons wave indigen suicid,stop child deaths medical bodies urge crisis response wave indigenous suicide,stop child death medic bodi urg crisi respons wave indigen suicid
health,"Pharmacist's Choice To Cut Corners Killed 76 People, Prosecutors Argue","He prioritized production over hygiene or quality control, resulting in a fungal meningitis outbreak.",pharmacist choice cut corners killed people prosecutors argue,pharmacist choic corner kill prosecutor argu,pharmacist choice corners killed people prosecutors argue,pharmacist choic cut corner kill peopl prosecutor argu
polit,Senate Republicans Shun Don Blankenship On Day Of West Virginia Primary,"Ã¢ÂÂI just donÃ¢ÂÂt see a scenario where thatÃ¢ÂÂs a positive projection"" of the GOP brand, Sen. Thom Tillis (R-N.C.) said.",senate republicans shun don blankenship day west virginia primary,senat republican shun blankenship west virginia primari,senate republicans shun blankenship west virginia primary,senat republican shun don blankenship day west virginia primari
polit,Hezbollah Declares 'Victory' After Unofficial Results Project Major Electoral Win,Unofficial results showed Hezbollah and its political allies won just over half the seats in LebanonÃ¢ÂÂs parliamentary election.,hezbollah declares victory after unofficial results project major electoral win,hezbollah declar victori unoffici result project major elector,hezbollah declares victory unofficial results project major electoral,hezbollah declar victori after unoffici result project major elector win
health,Kentucky Trial Could Make State First In U.S. With No Abortion Clinic,"Ã¢ÂÂThe very right to access legal abortion in the state of Kentucky is on the line.""",kentucky trial could make state first with abortion clinic,kentucki trial abort clinic,kentucky trial abortion clinic,kentucki trial could make state first with abort clinic
crime,Why Hasn't Lance Armstrong Been Prosecuted?,"He has escaped one major pitfall -- he has not been criminally charged for obviously prosecutable crimes in what anti-doping officials have called ""the most sophisticated doping program in history.""",why hasn lance armstrong been prosecuted,lanc armstrong prosecut,lance armstrong prosecuted,whi hasn lanc armstrong be prosecut
economi,"Optimism, opportunity will fuel Sangre GrandeÃ¢ÂÂs future","A guest column by RICARDO MOHAMMED, president of the Sangre Grande Chamber of Commerce",optimism opportunity will fuel sangre grandeÃ¢ future,optim opportun fuel sangr grandeÃ¢ futur,optimism opportunity fuel sangre grandeÃ¢ future,optim opportun will fuel sangr grandeÃ¢ futur
educ,"Instead of Awarding Grades, More Schools Measure Skills","GREEN BAY, Wis. -- Fewer students will be bringing home straight A's this June, and that's upsetting parents -- even though the development has nothing to do with any changes in their child's academic performance.",instead awarding grades more schools measure skills,instead award grade school measur skill,instead awarding grades schools measure skills,instead award grade more school measur skill
crime," Colombia Blames ELN for Bomb, Presses Cuba to Arrest Leaders  ",,colombia blames eln for bomb presses cuba arrest leaders,blame bomb press cuba arrest leader,blames bomb presses cuba arrest leaders,colombia blame eln for bomb press cuba arrest leader
corrupt,Six dead and 15 missing after tourist boat sinks in Colombia | World,,six dead and missing after tourist boat sinks colombia world,dead tourist boat sink,dead missing tourist boat sinks,six dead and miss after tourist boat sink colombia world
educ,"If Charter Schools DonÃ¢ÂÂt Reject This Doctrine, TheyÃ¢ÂÂll Cease To Be Labs of Innovation",Regulations are strangling the charter sector. Panic struck the education establishment over the election of President Donald,charter schools donÃ¢ reject this doctrine theyÃ¢ cease labs innovation,charter school donÃ¢ reject doctrin theyÃ¢ ceas lab innov,charter schools donÃ¢ reject doctrine theyÃ¢ cease labs innovation,charter school donÃ¢ reject this doctrin theyÃ¢ ceas lab innov
crime,"Argentinian lawyer Alberto Nisman was murdered, police report  ",,argentinian lawyer alberto nisman was murdered police report,argentinian lawyer alberto nisman murder polic,argentinian lawyer alberto nisman murdered police,argentinian lawyer alberto nisman be murder polic report
economi,"Trump Sons Forge Ahead Without Father, Expanding and  ",,trump sons forge ahead without father expanding and,son forg ahead father expand,sons forge ahead father expanding,trump son forg ahead without father expand and
crime,Nabila Rifo: Chile court cuts jail term of attacker - BBC News,,nabila rifo chile court cuts jail term attacker bbc news,nabila rifo court cut jail term attack,nabila rifo court cuts jail term attacker,nabila rifo chile court cut jail term attack bbc news
educ,Poor And Middle-Income Families Need A Better Way Than 529s To Save For College,"By Robert H. Scott III, Monmouth University and Steven Pressman, Colorado State University A college education is increasingly",poor and middle income families need better way than save for college,poor middl incom famili need better save colleg,poor middle income families need better save college,poor and middl incom famili need better way than save for colleg
economi,"Trump Abandons Trans- Pacific Partnership, Obama's Signature Trade",,trump abandons trans pacific partnership obama signature trade,abandon tran pacif partnership obama signatur trade,abandons trans pacific partnership obama signature trade,trump abandon tran pacif partnership obama signatur trade
crime,"Oklahoma Girl Shoots Home Intruder: 12-Year-Old Uses Family's Gun To Protect Self, Home","Police say the Calera 12-year-old used the family's gun to shoot and injure an alleged home invader on Wednesday, KFOR reports",oklahoma girl shoots home intruder year old uses family gun protect self home,oklahoma girl shoot home intrud use famili protect self home,oklahoma girl shoots home intruder uses family protect self home,oklahoma girl shoot home intrud year old use famili gun protect self home
polit,Activists and academics will reflect on 8 and 9 June in Cochabamba on the new political horizons for Bolivia. Raquel GutiÃÂ¯ÃÂ¿ÃÂ½ÃÂ¯ÃÂ¿ÃÂ½rrez Luis Tapia,,activists and academics will reflect and june cochabamba the new political horizons for bolivia raquel gutiÃ£ Ã¢Â½Ã£ Ã¢Â½rrez luis tapia,activist academ reflect june cochabamba polit horizon raquel gutiÃ£ Ã¢Â½rrez lui tapia,activists academics reflect june cochabamba political horizons raquel gutiÃ£ Ã¢Â½rrez luis tapia,activist and academ will reflect and june cochabamba the new polit horizon for bolivia raquel gutiÃ£ Ã¢Â½Ã£ Ã¢Â½rrez lui tapia
crime,"Ronnie Wynn, Alleged Car Thief, Caught On Tape Shooting Guns While Driving (VIDEO)","KPTV - FOX 12 Wynn is locked up in the Clark County Jail and scheduled to go on trial on September 17. In addition, charges",ronnie wynn alleged car thief caught tape shooting guns while driving video,ronni wynn alleg thief catch tape shoot gun drive,ronnie wynn alleged thief caught tape shooting guns driving,ronni wynn alleg car thief catch tape shoot gun while drive video
crime,Ariana Grande confirmed that she will come to Argentina. After the terrorist attack in which 22 people died at the conclusion of one of their shows in England ...,,ariana grande confirmed that she will come argentina after the terrorist attack which people died the conclusion one their shows england,ariana grand confirm come terrorist attack die conclus england,ariana grande confirmed come terrorist attack people died conclusion shows england,ariana grand confirm that she will come argentina after the terrorist attack which peopl die the conclus one their show england
crime,Rodney Alcala: 'The Dating Game Killer' To Face New York Murder Charges,"After receiving the DNA test results, prosecutors in Orange and Los Angeles counties began to examine other cold cases. The",rodney alcala the dating game killer face new york murder charges,rodney alcala date game killer face murder charg,rodney alcala dating game killer face murder charges,rodney alcala the date game killer face new york murder charg
crime,"Bolivia is the strategic point of narco in the ""coca basin"". The flow of drug trafficking is also made by Colombia and Peru.",,bolivia the strategic point narco the coca basin the flow drug trafficking also made colombia and peru,strateg point narco coca basin flow drug traffic,strategic point narco coca basin flow drug trafficking,bolivia the strateg point narco the coca basin the flow drug traffic also make colombia and peru
crime,"As Colombia's leader, I know we must rethink the drugs war | Juan  ",,colombia leader know must rethink the drugs war juan,leader know rethink drug juan,leader know rethink drugs juan,colombia leader know must rethink the drug war juan
unemploy,WA unemployment at lowest level this year,Bureau of Statistics figures showed the StateÃ¢ÂÂs jobless rate slipped to 6.1 per cent in June - the third consecutive month the rate has fallen.,unemployment lowest level this year,unemploy lowest level,unemployment lowest level,unemploy lowest level this year
economi,Budget 2017-18: A call to action,"In a context of continued declining economic conditions, accompanied by a general feeling that the economy is flatlining; a rudderless ship sailing towards an impending iceberg, Budget 2017-2018 must be more than an accounting exercise.",budget call action,budget action,budget action,budget call action
polit,South Korea Responds To Trump's Sudden Cancellation Of Kim Jong Un Summit,"""We are attempting to make sense of what, precisely, President Trump means.""",south korea responds trump sudden cancellation kim jong summit,korea respond sudden cancel jong summit,korea responds sudden cancellation jong summit,south korea respond trump sudden cancel kim jong summit
unemploy,US stocks end lower after unemployment claims rise,"The StanÃÂ­dard & Poor's 500 inÃÂ­dex fell 2.71, or 0.2 per cent, to close at 1,273.85. The NasÃÂ­daq comÃÂ­posÃÂ­ite inÃÂ­dex rose 7.69, or 0.3 per cent, to 2,709.89. Three stocks fell for every two that rose on the New York Stock ExÃÂ­change. VolÃÂ­ume was 1 bilÃÂ­lion shares. Bond prices rose, sendÃÂ­ing their yields lowÃÂ­er. The yield on the ten-year TreaÃÂ­sury note fell to 3.40 per cent from 3.46 per cent late WednesÃÂ­day. The yield is used to set inÃÂ­terÃÂ­est rates on many kinds of loans inÃÂ­cludÃÂ­ing mortÃÂ­gages. (AP)",stocks end lower after unemployment claims rise,stock lower unemploy claim rise,stocks lower unemployment claims rise,stock end lower after unemploy claim rise
crime,Rachel Dolezal Faces Felony Charges For Welfare Fraud,"State prosecutors say almost $84,000 had been deposited into her bank account while she was receiving public assistance.",rachel dolezal faces felony charges for welfare fraud,rachel dolez face feloni charg welfar fraud,rachel dolezal faces felony charges welfare fraud,rachel dolez face feloni charg for welfar fraud
polit,Brazil's President Michel Temer addresses the UN General Assembly in ... Brazil is always the first country to speak since the tenth session of the ...,,brazil president michel temer addresses the general assembly brazil always the first country speak since the tenth session the,presid michel temer address general assembl alway speak sinc tenth session,president michel temer addresses general assembly country speak tenth session,brazil presid michel temer address the general assembl brazil alway the first countri speak sinc the tenth session the
polit,The Municipality of Guayaquil leads the ranking of 20 entities with the highest level of risks in the Public Procurement System of Ecuador according to a ...,,the municipality guayaquil leads the ranking entities with the highest level risks the public procurement system ecuador according,municip guayaquil lead rank entiti highest level risk public procur,municipality guayaquil leads ranking entities highest level risks public procurement according,the municip guayaquil lead the rank entiti with the highest level risk the public procur system ecuador accord
crime,Argentina Dirty War: Killer Etchecolatz gets house arrest - BBC News,,argentina dirty war killer etchecolatz gets house arrest bbc news,dirti killer etchecolatz hous arrest,dirty killer etchecolatz gets house arrest,argentina dirti war killer etchecolatz get hous arrest bbc news
health," Uruguay , the first country where you can smoke marijuana wherever  ",,uruguay the first country where you can smoke marijuana wherever,smoke marijuana wherev,country smoke marijuana,uruguay the first countri where you can smoke marijuana wherev
crime,"Michael Pollara, Margaret Pollara Accused Of Stealing $2 Million In Toys From Toys 'R' Us (VIDEO)","""One of the things [Michael Pollara] would do was he would use a reward card,"" Rossman said. ""Obviously, for his small-ticket",michael pollara margaret pollara accused stealing million toys from toys video,michael pollara margaret pollara accus steal toy toy,michael pollara margaret pollara accused stealing toys toys,michael pollara margaret pollara accus steal million toy from toy video
crime,Arkansas Jail Break: Manhunt Launched For 2 Murder Suspects,Arkansas Inmates Break Out of Jail With Hacksaw Authorities brought in a K-9 dog unit to search the area after jail staff,arkansas jail break manhunt launched for murder suspects,arkansa jail break manhunt launch murder suspect,arkansas jail break manhunt launched murder suspects,arkansa jail break manhunt launch for murder suspect
educ,Should Student Test Scores Be Used to Evaluate Teachers?,"How much to creditÃ¢ÂÂand blameÃ¢ÂÂteachers for student performance is an issue that continues to confound the education field. To what extent is each student's progress directly attributable to the teacher's efforts? What other factors can determine a student's success? Is there a way to measure each factor separately, including the teacher's influence?",should student test scores used evaluate teachers,student test score use evalu teacher,student test scores evaluate teachers,should student test score use evalu teacher
educ,I reported harassment and was silenced Ã¢ÂÂ and IÃ¢ÂÂm a senior academic,"How many of us have contemplated the cost of speaking out against bad behaviour and thought, Ã¢ÂÂno, itÃ¢ÂÂs not worth itÃ¢ÂÂ? And how often as a result do perpetrators Ã¢ÂÂ great and small Ã¢ÂÂ get away with it?",reported harassment and was silenced and senior academic,harass silenc senior academ,reported harassment silenced senior academic,report harass and be silenc and senior academ
educ,It's hard to build a life when you need to move cities for an academic career,"This summer I started a short-term postdoc after finishing my PhD. I really like my postdoc advisor, who looks out for my mental wellbeing, as well as my new department and the city IÃ¢ÂÂve moved to. ItÃ¢ÂÂs refreshing to be in such a happy environment after experiencing bullying from other students at my previous institution. IÃ¢ÂÂve been able to design the research plans for the postdoc, and the grant IÃ¢ÂÂm on will support me comfortably for the next 10 months. It sounds like a dream Ã¢ÂÂ and it almost is Ã¢ÂÂ but the knowledge that all this is for the short term is dampening my enthusiasm.",hard build life when you need move cities for academic career,hard build life need academ career,hard build life need cities academic career,hard build life when you need move citi for academ career
unemploy,Unemployment rate drops in 4th quarter of 2016,"The Central Statistical Office (CSO) in its Labour Bulletin indicated that the unemployment rate among men decreased from four percent to 3.8 percent while the number of women unemployed dropped from four to 3.3 percent. However compared to the same period for 2015, the overall unemployment rate increased from 3.5 to 3.6 percent.",unemployment rate drops quarter,unemploy rate drop quarter,unemployment rate drops quarter,unemploy rate drop quarter
educ,Internship Ideas For Aspiring Journalists (Besides Editorial),Editorial internships often seem like the only logical job for an aspiring journalist to pick up in college Ã¢ÂÂÃÂ or at least,internship ideas for aspiring journalists besides editorial,internship idea aspir journalist besid editori,internship ideas aspiring journalists editorial,internship idea for aspir journalist besid editori
polit,What To Know About The Iran Nuclear Deal,A guide to the 2015 international agreement that Donald Trump has plunged into crisis.,what know about the iran nuclear deal,know iran nuclear deal,know iran nuclear deal,what know about the iran nuclear deal
crime,"What was trafficking like in Argentina a century ago? After the end of the First War the ""importation of prostitutes"" had a marked increase. But also the ...",,what was trafficking like argentina century ago after the end the first war the importation prostitutes had marked increase but also the,traffic centuri import prostitut mark increas,trafficking century importation prostitutes marked increase,what be traffic like argentina centuri ago after the end the first war the import prostitut have mark increas but also the
educ,Parents of Children With Diabetes Sue NYC Education Department,A federal lawsuit accuses New York City of failing to ensure that students with diabetes can attend public school safely and with equal access to educational opportunities as their peers.,parents children with diabetes sue nyc education department,parent children diabet educ depart,parents children diabetes education department,parent children with diabet sue nyc educ depart
health,Chile worried about 'bat plague' as more appear in homes - BBC News,,chile worried about bat plague more appear homes bbc news,worri plagu appear home,worried plague appear homes,chile worri about bat plagu more appear home bbc news
crime,Killings by Brazil ianpolice branded a human rights crisis as body,,killings brazil ianpolice branded human rights crisis body,kill ianpolic brand human right crisi bodi,killings ianpolice branded human rights crisis body,kill brazil ianpolic brand human right crisi bodi
crime,Jay Connolly Allegedly Robs Woman Who Bailed Him Out Of Jail,Officials say it took about two hours for the woman to free herself from the laces. Police located Connolly and Dean at a,jay connolly allegedly robs woman who bailed him out jail,connolli alleg rob woman bail jail,connolly allegedly robs woman bailed jail,jay connolli alleg rob woman who bail him out jail
corrupt,Last march of the Farc: Colombia's hardened fighters reach for a,,last march the farc colombia hardened fighters reach for,march farc harden fighter reach,march farc hardened fighters reach,last march the farc colombia harden fighter reach for
health,Diabetes And Influenza: A Dangerous Combination,"The flu can complicate diabetes. Influenza is highly contagious, as the viruses are spread when an infected person coughs",diabetes and influenza dangerous combination,diabet influenza danger combin,diabetes influenza dangerous combination,diabet and influenza danger combin
crime,Mount Sterling Police Department Shut Down; Officer Accused Of Using Taser On 9-Year-Old Boy,"Details about the taser incident on Tuesday are few, but the Coshocton Tribune reported that the officer had been called",mount sterling police department shut down officer accused using taser year old boy,mount sterl polic depart shut offic accus use taser,mount sterling police department shut officer accused taser,mount sterl polic depart shut down offic accus use taser year old boy
health,Brazil holidays + Food and drink | Travel | The Guardian,,brazil holidays food and drink travel the guardian,food drink,holidays food drink,brazil holiday food and drink travel the guardian
economi,According to the Brazilian digital newspaper Poder 360 Petrobras does not intend to renew the contract of purchase and sale of natural gas that signed with Bolivia and ...,,according the brazilian digital newspaper poder petrobras does not intend renew the contract purchase and sale natural gas that signed with bolivia and,digit newspap poder petrobra intend renew contract purchas sale natur sign,according digital poder petrobras intend renew contract purchase sale natural signed,accord the brazilian digit newspap poder petrobra do not intend renew the contract purchas and sale natur gas that sign with bolivia and
corrupt,Welcome to peace': Colombia's Farc rebels seal historic,,welcome peace colombia farc rebels seal historic,welcom peac farc rebel seal histor,welcome peace farc rebels seal historic,welcom peac colombia farc rebel seal histor
corrupt,They have gas; we have excrement': Venezuela protests take a dirty,,they have gas have excrement venezuela protests take dirty,excrement protest dirti,excrement protests dirty,they have gas have excrement venezuela protest take dirti
crime,Mexico to Paraguay : Let a 10-year-old girl have an abortion | Global,,mexico paraguay let year old girl have abortion global,girl abort,girl abortion,mexico paraguay let year old girl have abort global
