id_news|diario|title|snippet|time|year|svm_prediction
ecuador_elcomercio_2016_96|El Comercio (Ecuador)|Comisión del Parlamento Europeo da su aprobación al acuerdo ...|La entrada en vigor del acuerdo de libre comercio negociado entre la Unión Europea (UE) y Ecuador está más cerca después de que la Comisión de Comercio ...|29 Nov. 2016|2016|economi
ecuador_elcomercio_2017_28|El Comercio (Ecuador)|Ecuador no será excluido del Sistema General de Preferencias, según ...|El ministro de Comercio Exterior, Pablo Campana, anunció que tras las reuniones con el Gobierno de Estados Unidos, Ecuador ingresará en el Sistema ...|22 dic. 2017|2017|economi
ecuador_elcomercio_2015_8|El Comercio|Ecuador busca afianzar el comercio con Perú|La cita que mantienen hoy, 18 de diciembre del 2015, los presidentes de Ecuador, Rafael Correa, y su homólogo del Perú, Ollanta Humala, durante el IX ...|17 dic. 2015|2015|economi
ecuador_elcomercio_2015_27|El Comercio|Diego Aulestia se estrena en Comercio Exterior|El nuevo ministro de Comercio Exterior, Diego Aulestia, deberá mantener el ... de Desarrollo Urbano y Economía del Desarrollo en Ecuador y Venezuela.|19 Feb. 2015|2015|economi
ecuador_elcomercio_2015_69|El Comercio|La economía se desacelerará al 1,9% el 2015|El Banco Central del Ecuador (BCE) bajó la previsión de crecimiento de la economía ecuatoriana del 4,1% inicialmente previsto a 1,9%, ratificando otras ...|5 Jun. 2015|2015|economi
ecuador_elcomercio_2016_47|El Comercio (Ecuador)|Ecuador busca en la UE y China oxígeno para su economía|El acuerdo comercial que Ecuador firmará este viernes con la Unión ... Para José Antonio Hidalgo, presidente de la Cámara de Comercio Ecuatoriano China, ...|10 Nov. 2016|2016|economi
ecuador_elcomercio_2016_101|El Comercio (Ecuador)|Francia respalda acuerdo comercial entre Ecuador y la UE|Ecuador recibió el respaldo de Francia para la firma del acuerdo comercial con ... además en París en un encuentro con inversionistas de comercio y sectores ...|15 Sep. 2016|2016|economi
ecuador_elcomercio_2016_106|El Comercio (Ecuador)|Nicaragua y Ecuador acuerdan facilitar intercambio de productos|Nicaragua y Ecuador firmaron,el 5 de julio, un tratado de libre comercio de alcance parcial que facilitará el intercambio con preferencias arancelarias de cerca ...|5 Jul. 2016|2016|economi
ecuador_elcomercio_2016_109|El Comercio (Ecuador)|Ecuador busca financiación surcoreana para la Refinería del Pacífico|El ministro coordinador de Sectores Estratégicos de Ecuador, Rafael Poveda, ... Poveda mantuvo reuniones con el ministro de Comercio de Corea del Sur, Joo ...|5 Jul. 2016|2016|economi
ecuador_elcomercio_2017_13|El Comercio (Ecuador)|Moreno ofrece a empresas españolas 'oportunidades para invertir' en ...|El Presidente clausuró un encuentro organizado por la patronal española CEOE, la secretaría española de Estado de Comercio y el Gobierno de Ecuador.|19 dic. 2017|2017|economi
ecuador_elcomercio_2017_23|El Comercio (Ecuador)|Lenín Moreno dice que situación económica del país es crítica|Ecuador es parte de la OPEP y eso le ha significado sacrificios en sus niveles de producción. El país se comprometió en noviembre del año pasado a bajar su ...|28 Jul. 2017|2017|economi
ecuador_elcomercio_2017_69|El Comercio (Ecuador)|Ecuador busca sellar 'un acuerdo comercial a largo plazo' con Emiratos|El ministro de Comercio Exterior, Pablo Campana, asegura en una entrevista a ... En Dubái, en concreto, Ecuador busca incrementar sus exportaciones, y en el ...|21 Nov. 2017|2017|economi
ecuador_elcomercio_2017_91|El Comercio (Ecuador)|La economía ecuatoriana creció 3,3% en el segundo trimestre|Un 3,3% interanual creció la economía del país en el segundo trimestre del 2017, informó el viernes, 29 de septiembre del 2017, el Banco Central del Ecuador ...|29 Sep. 2017|2017|economi
ecuador_elcomercio_2018_5|El Comercio (Ecuador)|Venezuela y la relación comercial centrarán la parada de Pence en ...|Ecuador ha mantenido bajo el actual Gobierno de Moreno una posición ... un acuerdo de comercio o pacto similar al que firmó con la Unión Europea, que lleva ...|27 Jun. 2018|2018|economi
ecuador_elcomercio_2018_35|El Comercio|Relación comercial entre Ecuador y Chile aumentó más de 40% en ...|Lo manifestó en una reunión con el presidente de Ecuador, Lenín Moreno, celebrada ... El presidente de la Cámara de Comercio chilena indicó que uno de sus ...|24 Oct. 2018|2018|economi
ecuador_elcomercio_2018_42|El Comercio|Ecuador buscará en China un acuerdo parcial de comercio|Ecuador buscará en China un acuerdo parcial de comercio durante la visita que realizarán la semana que viene el presidente, Lenín Moreno, y su ministro de ...|7 dic. 2018|2018|economi
ecuador_elcomercio_2018_51|El Comercio|Una a una, las medidas económicas anunciadas por Lenín Moreno|Además, se fusionará el Ministerio de Comercio Exterior con el de Industrias. ... El Ecuador prevé ahorrar otros USD 350 millones anuales con la delegación, ...|22 ago. 2018|2018|economi
ecuador_elcomercio_2018_65|El Comercio (Ecuador)|EE.UU., prioridad en hoja de ruta comercial de Ecuador|Ecuador “se está abriendo al mundo” en busca de inversiones y de ampliar sus ... El ministro de Comercio Exterior, Pablo Campana, quien también participó en ...|30 May. 2018|2018|economi
ecuador_eluniverso_2015_40|El Universo|Economía de Ecuador creció en un 3,8% durante el 2014|La economía de Ecuador creció 3,8% en el 2014 frente al 4,6% del 2013, dijo el sábado el presidente Rafael Correa. En principio, el gobierno ecuatoriano ...|28 Mar. 2015|2015|economi
ecuador_eluniverso_2015_110|El Universo|Economía de Ecuador creció en 3,4% al fin del 2014, según el Banco ...|La economía de Ecuador creció 3,4% durante el tercer trimestre de 2014 comparada con igual período de 2013, informó el martes el Banco Central.|6 ene. 2015|2015|economi
ecuador_eluniverso_2016_26|El Universo|Ecuador firma acuerdo comercial multipartes con la Unión Europea|Actualizado a las 07:39. Tras nueve años de espera y complicadas negociaciones desde que en julio de 2014 se alcanzara el acuerdo preliminar, Ecuador, ...|11 Nov. 2016|2016|economi
ecuador_lahora_2017_48|La Hora (Ecuador)|10 propuestas para mejorar la economía|Salen del primer periodo de trabajo del Consejo Productivo. Las decisiones las tomará el presidente Moreno. Con la mesa de diálogos del sector Servicios ...|1 Sep. 2017|2017|economi
ecuador_elcomercio_2015_92|El Comercio|El FMI envió 10 recomendaciones a Ecuador|Luego de realizar una evaluación sobre el manejo económico del Ecuador, ... La Organización Mundial de Comercio anunció que el país se comprometió a ...|23 Oct. 2015|2015|economi
ecuador_lahora_2018_45|La Hora (Ecuador)|Economía de Ecuador se recupera levemente gracias al consumo en ...|Los principales países que invirtieron en Ecuador durante el tercer trimestre de 2017 fueron China, Panamá, Chile, Nueva Zelanda y Holanda. Que el consumo ...|2 ene. 2018|2018|economi
ecuador_elcomercio_2015_37|El Comercio|Ecuador y Colombia en intensa negociación por la salvaguardia|Durante más de ocho horas los ministros de Comercio Exterior de Ecuador y Colombia, Francisco Rivadeneira y Cecilia Álvarez - Correa analizaron la ...|14 ene. 2015|2015|economi
ecuador_elcomercio_2015_95|El Comercio|El exministro Francisco Rivadeneira representará a Ecuador en el FMI|"El exministro de Comercio Exterior será el ""representante del Ecuador ante el Fondo Monetario"", señaló Correa, que ha mantenido duras críticas contra el ..."|2 May. 2015|2015|economi
ecuador_elcomercio_2016_70|El Comercio (Ecuador)|Ecuador sigue estrechando relaciones con Bielorrusia y Rusia|El motivo fue discutir la inversión actual y potencial de ese país en Ecuador, así ... Presidente de la Cámara de Comercio e Industria de la Federación de Rusia; ...|28 Mar. 2016|2016|economi
ecuador_elcomercio_2016_88|El Comercio (Ecuador)|Rusia y Ecuador firman un tratado para evitar la doble imposición y ...|Rusia y Ecuador, según confirma la declaración de Sochi, reiteraron su ... Ecuador, que busca apoyarse en Rusia para superar un modelo de comercio exterior ...|14 Nov. 2016|2016|economi
ecuador_elcomercio_2015_44|El Comercio|La inflación del 2014 fue 3,67% en Ecuador|Ecuador cerró el 2014 con una inflación de 3,67% anual, lo que representa un incremento frente al 2,70% registrado en el 2013. Esta información la hizo ...|8 ene. 2015|2015|economi
ecuador_elcomercio_2015_42|El Comercio|Primer pago de Ecuador a la Oxy estaría financiado|El presidente de Ecuador, Rafael Correa, aseguró hoy 11 de diciembre del 2015 que el Estado tiene la financiación suficiente para cubrir un primer pago a la ...|11 dic. 2015|2015|economi
ecuador_elcomercio_2015_39|El Comercio|Ecuador se posiciona en el ranking tributario|Ecuador aparece entre los países que tienen la mayor tasa de Impuesto a la Herencia en el mundo. El Gobierno anunció que remitirá en los próximos días una ...|3 Jun. 2015|2015|economi
ecuador_elcomercio_2015_61|El Comercio|Rafael Correa desata ira empresarial en Ecuador con plan de ...|El presidente Rafael Correa desató como pocas veces la molestia del sector empresarial en Ecuador con un proyecto para elevar los impuestos a las herencias ...|7 Jun. 2015|2015|economi
ecuador_elcomercio_2015_63|El Comercio|La inflación anual en Ecuador llega al 4,55%|La inflación en mayo de 2015 se ubicó en 0,18% según el último reporte de inflación del Instituto Nacional de Estadística y Censos (INEC). Hasta mayo pasado ...|4 Jun. 2015|2015|economi
ecuador_elcomercio_2015_68|El Comercio|Pobreza en Ecuador se redujo al 25,8%|Entre el 2006 y 2014, la pobreza en Ecuador, medida por el consumo, se redujo del 38,3% al 25,8%, según información difundida la mañana de este lunes 13 ...|13 abr. 2015|2015|economi
ecuador_elcomercio_2015_78|El Comercio|Tulcán fue declarada zona deprimida por la baja del comercio|Aulestia mencionó que la depreciación de peso colombiano implica que para ellos es más costoso comprar en Ecuador, pero más barato venderle. “Es por eso ...|18 ago. 2015|2015|economi
ecuador_elcomercio_2015_81|El Comercio|Ecuador seguirá dolarizado pese a difícil situación económica, dice ...|"Ecuador mantendrá el dolar como moneda, pese a la difícil situación ... su comercio, anunció este martes, 25 de agosto, el presidente Rafael Correa. ""Hemos ..."|25 ago. 2015|2015|economi
ecuador_elcomercio_2016_2|El Comercio (Ecuador)|Gobierno anuncia 5 medidas económicas por el terremoto|El Gobierno Nacional estableció cinco medidas económicas para enfrentar los costos del terremoto ocurrido el pasado sábado y que hasta ayer hasta dejaba ...|20 abr. 2016|2016|economi
ecuador_elcomercio_2016_29|El Comercio (Ecuador)|Se reactivó 60% del comercio en Pedernales, epicentro del terremoto|Un mes después del terremoto que devastó la costa ecuatoriana, en Pedernales, epicentro del sismo, un 60% del comercio se ha reactivado en medio de la ...|16 May. 2016|2016|economi
ecuador_elcomercio_2016_43|El Comercio (Ecuador)|¿Ecuador está preparado para un petróleo a un precio de USD 20?|En el mercado de Nueva York, el petróleo West Texas Intermediate (WTI), de referencia para Ecuador, cerró el 7 de marzo del 2016 en USD 37,90 por barril, ...|22 ene. 2016|2016|economi
ecuador_elcomercio_2016_58|El Comercio (Ecuador)|Ecuador y Unión Europea firmarán acuerdo comercial el 11 de ...|El acuerdo comercial negociado entre Ecuador y la Unión Europea (UE) será ... el jueves el ministro ecuatoriano de Comercio Exterior, Juan Carlos Cassinelli.|27 Oct. 2016|2016|economi
ecuador_elcomercio_2016_71|El Comercio (Ecuador)|Juan Carlos Cassinelli inicia gira comercial por 3 países|Allí el Ministro se reunirá con John Melle, representante de Comercio de los EE. ... Para el analista económico Jorge Acaiturri, a Ecuador le urge no solo ...|10 Jul. 2016|2016|economi
ecuador_elcomercio_2016_78|El Comercio (Ecuador)|El acuerdo con la Unión Europea excluye 91 productos agrícolas ...|Ecuador consiguió de la Unión Europea (UE) la exclusión de un grupo de ... El ministro de Comercio Exterior, Juan Carlos Cassinelli, explicó que en el acuerdo ...|8 Nov. 2016|2016|economi
ecuador_elcomercio_2016_81|El Comercio (Ecuador)|Ecuador colocó USD 1 000 millones en bonos soberanos en mercado ...|El Ministerio de Finanzas colocó hoy 25 de julio del 2016 USD 1 000 millones en bonos soberanos en el mercado de capitales internacionales, informó la ...|26 Jul. 2016|2016|economi
ecuador_elcomercio_2016_97|El Comercio (Ecuador)|Lundin Gold concluye acuerdo de inversión para extraer oro en Ecuador|La minera canadiense Lundin Gold anunció el 5 de agosto que concluyó la negociación de un contrato de inversión con Ecuador para explotar un yacimiento ...|5 ago. 2016|2016|economi
ecuador_elcomercio_2017_44|El Comercio (Ecuador)|América Móvil prevé inversiones por USD 450 millones en Ecuador ...|La empresa mexicana de telefonía América Móvil anunció hoy (26 de septiembre del 2017) en Quito planes de inversión en Ecuador por unos USD 450 ...|26 Sep. 2017|2017|economi
ecuador_elcomercio_2017_51|El Comercio (Ecuador)|Lenín Moreno promete a bancos mantener dolarización en Ecuador|El presidente electo de Ecuador, Lenín Moreno, prometió a representantes de la Asociación de Bancos Privados (ABPE) del país que mantendrá la dolarización ...|18 May. 2017|2017|economi
ecuador_elcomercio_2017_53|El Comercio (Ecuador)|FMI 'sorprendido' por crecimiento mayor al pronosticado para Ecuador ...|"Werner aseguró que la cita fue ""muy provechosa"" y sirvió para entender los planes económicos que se implementan en Ecuador y que permiten comprender ..."|29 Nov. 2017|2017|economi
ecuador_elcomercio_2017_63|El Comercio (Ecuador)|Ecuador quiere renegociar 17 acuerdos de inversión|El Ministerio de Comercio Exterior comunicó a las embajadas de 17 países con los que Ecuador ha denunciado los tratados bilaterales de inversión (TBI), ...|5 May. 2017|2017|economi
ecuador_elcomercio_2017_74|El Comercio (Ecuador)|Dos emisiones de bonos en menos de un mes|A 10 días de haber empezado el 2017, Ecuador salió nuevamente al mercado internacional de capitales en busca de financiamiento. El Ministerio de Finanzas ...|11 ene. 2017|2017|economi
ecuador_elcomercio_2018_80|El Comercio|Japón firma acuerdo de ayuda financiera con Ecuador de USD 70 ...|"Japón firma acuerdo de ayuda financiera con Ecuador de USD 70 millones ... materia de comercio y de inversiones"", según consta en la declaración conjunta."|5 Sep. 2018|2018|economi
ecuador_elcomercio_2018_81|El Comercio (Ecuador)|Cuatro ejes y 14 medidas abarca el plan económico de Lenín Moreno|El presidente Lenín Moreno presentó este lunes 2 de abril del 2018, las líneas generales de su plan económico. El documento incluye 14 medidas que se ...|2 abr. 2018|2018|economi
ecuador_elcomercio_2018_84|El Comercio (Ecuador)|Ecuador vuelve a financiarse con China luego de once meses|Con un crédito de USD 900 millones del Banco de Desarrollo de China (CDB por sus siglas en inglés), el Gobierno volvió a incluir al dragón asiático entre sus ...|12 dic. 2018|2018|economi
ecuador_elcomercio_2018_103|El Comercio|8 617 venezolanos laboran en el sector privado de Ecuador de ...|Entre los comerciantes estaban Omira Palacios y José Martínez, quienes decidieron emigrar al Ecuador por la devastadora crisis económica que azota al país ...|16 Sep. 2018|2018|economi
ecuador_eluniverso_2015_36|El Universo|Ecuador está preparado para caída de barril de petróleo de hasta ...|Ecuador logró sortear la baja cotización del petróleo, su principal producto de exportación, y confía en que el precio seguirá recuperándose tras el alza de los ...|13 May. 2015|2015|economi
ecuador_eluniverso_2015_48|El Universo|Salario subió 3,39%, el menor porcentaje en últimos 10 años|El funcionario destacó que el salario de Ecuador es el segundo más alto en América del Sur, luego de Argentina y el primero de la Comunidad Andina de ...|21 dic. 2015|2015|economi
ecuador_eluniverso_2015_60|El Universo|Turismo dejó $ 1.487 millones en ingresos a Ecuador en 2014|El ingreso por turismo a Ecuador reportó en 2014 un total de 1.487,2 millones de dólares y la meta para este año se ha marcado en 1.734,5 millones de dólares ...|9 abr. 2015|2015|economi
ecuador_eluniverso_2015_85|El Universo|Nueva emisión de bonos hace Ecuador|Ecuador colocó $ 750 millones de un bono con vencimiento en el 2020 y rendimiento del 8,5% a cinco años plazo. En marzo pasado hizo la primera venta por ...|14 May. 2015|2015|economi
ecuador_eluniverso_2015_138|El Universo|Corea del Sur negociará acuerdos comerciales con Ecuador y ...|Corea del Sur anunció este miércoles que iniciará próximamente las negociaciones para sellar acuerdos comerciales con Ecuador y con el bloque ...|29 abr. 2015|2015|economi
ecuador_eluniverso_2016_17|El Universo|FMI aprobó crédito por $ 364 millones para Ecuador|El jefe de la misión del Fondo Monetario Internacional (FMI) para Ecuador, Luca Ricci, anunció este viernes que el Directorio del FMI aprobó un crédito sin ...|8 Jul. 2016|2016|economi
ecuador_eluniverso_2016_19|El Universo|Ecuador y Turquía buscan incrementar intercambio comercial|Ecuador y Turquía suscribieron acuerdos económicos, comerciales y de cooperación durante la visita oficial del presidente de Turquía Recep Tayyip Erdogan a ...|4 Feb. 2016|2016|economi
ecuador_eluniverso_2016_35|El Universo|Proyecto que crea nuevos impuestos en Ecuador mueve a opositores ...|(Actualizado a las 21:10, jueves 7 de abril, 2016). Opositores y simpatizantes del Gobierno salieron el a las calles este jueves para expresar rechazo y apoyo al ...|7 abr. 2016|2016|economi
ecuador_eluniverso_2016_39|El Universo|Ecuador exportará banano sin limitaciones desde el 2020|La exportación de banano hacia la Unión Europea es uno de los capítulos con tratamiento especial en el Acuerdo Multipartes. Aunque el régimen arancelario ...|15 dic. 2016|2016|economi
ecuador_eluniverso_2016_49|El Universo|Banco Mundial oficializa préstamo a Ecuador por 150 millones de ...|El Banco Mundial (BM) y el gobierno de Ecuador formalizaron este viernes un préstamo por 150 millones de dólares para ayudar a ese país en la ...|22 abr. 2016|2016|economi
ecuador_eluniverso_2016_68|El Universo|Ecuador coloca bono a 10 años por 750 millones de dólares|Ecuador colocó un bono a 10 años por 750 millones de dólares con una demanda que más que triplicó la oferta y con un rendimiento de un 9,65%, que estuvo ...|8 dic. 2016|2016|economi
ecuador_eluniverso_2016_64|El Universo|¿Qué reforma económica rige en Ecuador desde este 1 de junio?|Desde este 1 de junio entra en vigencia en Ecuador la Ley de Solidaridad y de Corresponsabilidad Ciudadana en beneficio de las zonas afectadas por el ...|1 Jun. 2016|2016|economi
ecuador_eluniverso_2016_82|El Universo|Ecuador recibirá crédito chino de $970 millones|Actualizado a las 23:18. Ecuador recibirá un crédito de 970 millones de dólares por parte de un banco de China, los cuales son de libre disponibilidad, informó ...|22 ene. 2016|2016|economi
ecuador_eluniverso_2016_104|El Universo|Inflación de Ecuador aumentó 0,36% en junio, según INEC|La inflación mensual de Ecuador aumentó de 0,03% en mayo a 0,36% en junio, mientras que el acumulado en el primer semestre de 2016 pasó a 1,29%, ...|6 Jul. 2016|2016|economi
ecuador_eluniverso_2016_106|El Universo|Ecuador iniciará conversaciones para acuerdo comercial con Islandia ...|En octubre arrancará la primera ronda de negociaciones para la firma de un acuerdo comercial entre Ecuador y la Asociación Europea de Libre Comercio (más ...|30 Jun. 2016|2016|economi
ecuador_eluniverso_2017_42|El Universo|Lenín Moreno descarta 'paquetazo' ante actual crisis económica en ...|Lenín Moreno descarta 'paquetazo' ante actual crisis económica en Ecuador ... asegura Lenín Moreno al presentar el diagnóstico de la economía de Ecuador.|1 ago. 2017|2017|economi
ecuador_eluniverso_2017_44|El Universo|Decrecimiento' económico de 1,5% se registró en 2016|Ecuador registró un decrecimiento (“crecimiento negativo”) en la economía que se ubicó en 1,5% en el 2016. Es decir, el producto interno bruto (PIB) se redujo ...|10 abr. 2017|2017|economi
ecuador_eluniverso_2017_53|El Universo|Ecuador notifica que quiere renegociar 17 TBI|El ministro de Comercio Exterior, Juan Carlos Cassinelli, comunicó a las embajadas de Ecuador de 17 países la intención del país de renegociar los Tratados ...|5 May. 2017|2017|economi
ecuador_eluniverso_2017_54|El Universo|Plan económico de Lenín Moreno para Ecuador se sustenta en ...|Al recordar que el régimen anterior no dejó una economía con “la mesa servida”, sumado a un panorama de caída de exportaciones, bajo precio del petróleo, ...|12 Oct. 2017|2017|economi
ecuador_eluniverso_2017_56|El Universo|Ecuador no ha previsto financiamiento del FMI, dice ministro Carlos ...|No se ha previsto ningún financiamiento con el Fondo Monetario Internacional (FMI), dijo este miércoles el ministro de Economía y Finanzas, Carlos de la Torre, ...|29 Nov. 2017|2017|economi
ecuador_eluniverso_2017_86|El Universo|Ecuador cierra 2016 con una inflación anual de 1,12%|Ecuador registró una inflación anual de 1,12% en el 2016 frente al 3,38% del 2015, según el reporte del Instituto Nacional de Estadística y Censos (INEC).|6 ene. 2017|2017|economi
ecuador_eluniverso_2017_91|El Universo|Otro crédito llega vía bonos y oro al Banco Central del Ecuador|La inversión en oro que realizó esta semana el Banco Central del Ecuador (BCE) en Goldman Sachs (por 300.000 onzas de oro, equivalentes a $ 387 millones) ...|20 Oct. 2017|2017|economi
ecuador_eluniverso_2018_81|El Universo|Ecuador renegociará su deuda con China, pero no descarta acudir al ...|Ecuador buscará una renegociación de la deuda que mantiene con China y no descarta pedir financiamiento del Fondo Monetario Internacional, como parte de ...|6 dic. 2018|2018|economi
ecuador_lahora_2016_2|La Hora (Ecuador)|Francia respalda acuerdo comercial entre Ecuador y la UE|Ecuador recibió el respaldo de Francia para la firma del acuerdo comercial con la Unión Europea (UE) este año durante una reunión que mantuvieron en París ...|15 Sep. 2016|2016|economi
ecuador_lahora_2017_14|La Hora (Ecuador)|Presupuesto para 2018 presenta un déficit de 4.102 millones|Con el carácter de urgente en materia económica, el Ejecutivo remitió a la Asamblea la Ley Orgánica para Impulsar la Reactivación Económica del Ecuador.|1 Nov. 2017|2017|economi
ecuador_lahora_2018_24|La Hora (Ecuador)|Riesgo País aumenta en Ecuador tras cambio en el Ministerio de ...|Riesgo País aumenta en Ecuador tras cambio en el Ministerio de Finanzas ... los mismos mercados internacionales castiguen a Ecuador y las condiciones de ...|7 Mar. 2018|2018|economi
ecuador_lahora_2018_26|La Hora (Ecuador)|Japón firma acuerdo de ayuda financiera con Ecuador de 70 millones ...|El primer ministro nipón, Shinzo Abe, firmó hoy un acuerdo de ayuda financiera reembolsable con el presidente de Ecuador, Lenín Moreno, por valor de 70 ...|5 Sep. 2018|2018|economi
ecuador_elcomercio_2018_71|El Comercio (Ecuador)|Misión del FMI se quedará en Ecuador hasta julio del 2018|Un equipo del Fondo Monetario Internacional (FMI) permanecerá en Quito por unas dos semanas, para llevar a cabo la revisión anual de las cifras económicas ...|19 Jun. 2018|2018|economi
ecuador_elcomercio_2018_3|El Comercio (Ecuador)|Ecuador expresó formalmente su decisión de convertirse en país ...|El ministro ecuatoriano de Comercio Exterior, Pablo Campana, informó hoy, 23 de julio del 2018, en el marco del V Encuentro de la Alianza del Pacífico que ...|23 Jul. 2018|2018|economi
ecuador_eluniverso_2017_88|El Universo|La CAF aprueba 2 préstamos a Ecuador|El Banco de Desarrollo de América Latina-CAF aprobó dos préstamos para Ecuador por un monto de $ 292 millones, para modernizar la red de carreteras e ...|5 dic. 2017|2017|economi
ecuador_eluniverso_2018_87|El Universo|Ecuador apunta a Alianza del Pacífico ya inversionistas|El ministro de Comercio Exterior, Pablo Campana, señaló que Ecuador busca formar parte de la Alianza del Pacífico y que, en el segundo semestre de este año ...|30 May. 2018|2018|economi
ecuador_elcomercio_2015_23|El Comercio|Críticas nacionales e internacionales a través de redes sociales al ...|Las reacciones al comercial de Ecuador que se transmitió ayer, 1 de febrero del 2015, en el Super Bowl no se hicieron esperar. Entre estas reacciones también ...|2 Feb. 2015|2015|economi
ecuador_elcomercio_2015_46|El Comercio|Ecuador y Bielorrusia impulsan cooperación para un desarrollo ...|Espinosa explicó que en 2013 Ecuador y Bielorrusia acordaron crear una ... varios instrumentos en materia de ciencia y tecnología, comercio exterior, minería, ...|11 Feb. 2015|2015|economi
ecuador_elcomercio_2017_66|El Comercio (Ecuador)|Rafael Correa: 'a corto y mediano plazo es una utopía salir de la ...|“A corto y mediano plazos es una utopía salir de la dolarización. Lo que sí se podría hacer es una moneda regional, pero eso será cosa de décadas”, dijo el ...|17 ene. 2017|2017|economi
ecuador_elcomercio_2018_22|El Comercio (Ecuador)|Ecuador estará en el V Encuentro Empresarial de la Alianza del Pacífico|Una delegación gremial ecuatoriana participará el lunes 23 de julio del 2018 en el V Encuentro Empresarial de la Alianza del Pacífico, que se realiza en Puerto ...|20 Jul. 2018|2018|economi
ecuador_elcomercio_2018_48|El Comercio|Seguridad fronteriza, comercio y cooperación energética, los ejes del ...|Además, dijo que Ecuador seguirá apoyando a los cerca de 60 000 ciudadanos colombianos que residen en el país. El mandatario señaló que en el Gabinete ...|4 dic. 2018|2018|economi
ecuador_elcomercio_2018_85|El Comercio (Ecuador)|El edificio sede de la Unasur financiado por Ecuador será una ...|El presidente de Ecuador, Lenín Moreno, anunció que el edificio donde funcionó por más de tres años la sede de la Unión de Naciones Suramericanas ...|6 Jul. 2018|2018|economi
ecuador_elcomercio_2018_88|El Comercio (Ecuador)|Richard Martínez va de la Cámara de Industrias al Ministerio de ...|Martínez es economista de la Universidad Católica del Ecuador, con un Executive ... y Comercio Internacional por la Universidad Miguel de Cervantes en Chile.|15 May. 2018|2018|economi
ecuador_eluniverso_2015_24|El Universo|Posible salida de Ecuador de la CAN inquieta a empresarios|“Si Ecuador sale de la CAN y los productos manufactureros, sobre todo ecuatorianos, que el día de hoy entran al mercado colombiano y peruano sin aranceles, ...|11 Feb. 2015|2015|economi
ecuador_eluniverso_2018_83|El Universo|Ecuador reduce subsidios de gasolina extra y ecopaís|El diésel para transporte público y gas de uso doméstico no se verán modificados, dijo el ministro de Economía, Richard Martínez, al mismo tiempo que anunció ...|18 dic. 2018|2018|economi
